Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Tenure,Age,Total_Spend,ClusterLabel
Graduation,Married,-0.4126094310840824,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,0.9795628346223915,-0.9474353208788125,-0.8483764418901261,1
Graduation,Together,-0.5750856570510696,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,1.5477306216926088,1.9591506863609989,-0.48148165577499247,1
Master,Married,0.983534080311948,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,0.5151474260606487,1.7026872151339567,1.9506489399655995,0
2n Cycle,Single,-0.7319208991336283,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1.2315328967144008,-1.3748744395905497,-0.7869506179703979,1
Graduation,Married,-0.603687828859439,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,1.661364179106652,-1.1184109683635073,-0.48314181317822835,1
Graduation,Married,-1.9779030085357194,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,0.915335171736193,-0.8619474971364652,1.8643207549973329,1
PhD,Married,0.25306639251709223,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,0.984503424075176,1.7026872151339567,0.6059214433445214,0
PhD,Married,0.5199008203460049,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,-0.9126829257940711,1.2752480964222197,-0.10462592524044338,0
Graduation,Together,-0.45873043312507805,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,0.5645533205884937,1.5317115676492619,-0.2706416655640333,1
Graduation,Single,-1.336658206687527,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0.9350975295473309,-0.0070692597129912655,-0.88323974735808,1
Graduation,Married,0.04458834022497761,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,0.21871205889357886,-0.6054840259094231,-0.5810910999691464,1
Graduation,Married,-0.5512505138774284,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,0.1989497010824409,-1.7168257345599391,-0.7902709327768697,1
PhD,Married,1.286359574333059,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,-0.6656534531548461,0.3348820352563983,1.7680316256096507,0
Master,Divorced,-1.6389672726065423,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,-1.5599001441088403,-1.7168257345599391,-0.9579468305036954,1
Master,Together,-0.5409219518355173,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0.29776149013813086,0.5058576827410931,-0.4798214983717565,1
Graduation,Together,-0.4643316917708837,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,1.3501070435812288,-0.09255708345533865,-0.8085326642124645,1
PhD,Divorced,-0.2235172952398626,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,1.2562358439783232,1.4462237439069143,-0.506384016823531,1
Master,Married,0.6523050406755815,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0.6930086463608907,1.9591506863609989,0.9777967016693627,0
Master,Single,-0.11312085710728134,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,-0.24570334966816387,1.5317115676492619,-0.899841321390439,1
PhD,Married,0.6005033295115347,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,-0.8583364418134416,-0.09255708345533865,0.5079721565536033,0
2n Cycle,Married,-1.132907457791518,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,-0.26546570747930187,-0.6054840259094231,-0.8732788029386646,1
Graduation,Widow,-0.3896085179215187,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,-1.0658411988303904,-0.34902055468238086,-0.8965210065839672,1
PhD,Divorced,-0.13063968733990758,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0.7868798459637961,2.215614157588041,0.48971042511800844,0
Graduation,Married,1.1033453999981175,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,0.3570485635715448,-0.9474353208788125,1.3081680249133067,0
Master,Married,-1.2583994866007386,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,0.5941968573052007,-1.3748744395905497,-0.9197632102292698,1
Graduation,Together,-1.2013937691771135,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,0.9795628346223915,1.0187846251951775,-0.9712280897295826,1
Master,Married,-1.7771713777750384,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,-0.4136833910628368,-0.5199962021670756,-0.9562866731004596,1
Graduation,Single,1.100564633294526,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,-1.7427019538618667,-0.6054840259094231,0.6258433321833522,0
2n Cycle,Married,-1.7771713777750384,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,1.2018893599976939,-2.315240500756371,-0.8052123494059927,1
Graduation,Together,-0.4174559101960561,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,0.23353382725193236,0.07841856402935612,-0.916442895422798,1
PhD,Married,0.8069553946338899,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1.2068299494504784,1.2752480964222197,1.1819960622673784,0
Graduation,Widow,0.526336309002888,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,-1.5104942495809952,1.0187846251951775,-0.16605174916017165,0
Master,Married,1.0688638928735834,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,1.6465424107482987,0.4203698589987457,1.8028949310776046,0
Graduation,Single,-0.653344377137858,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,0.9350975295473309,-0.6909718496517704,-0.8882202195677877,1
Graduation,Divorced,1.20547898849717,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,-1.638949575353392,-0.6909718496517704,1.6767229684316762,0
Graduation,Married,0.5615725956612542,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,0.13966262764902693,-0.7764596733941178,-0.0016961662398176458,0
Master,Together,1.1976133912498683,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,1.1524834654698488,1.1897602726798722,2.2411764855318816,0
Graduation,Divorced,0.71705717963064,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0.4904444787967262,0.24939421151405092,0.8068004891360652,0
Graduation,Single,-0.9652669508035753,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,-1.4413259972420123,-1.6313379108175918,-0.9596069879069313,1
PhD,Married,0.14767533445097558,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,-1.1646529878860803,0.07841856402935612,-0.14779001772457676,1
Master,Single,0.9351487396694564,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0.030969659687767975,-1.1184109683635073,1.3795547932524503,0
Graduation,Together,0.5726956624756201,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,1.513146495523117,-0.5199962021670756,0.008264778179597749,0
Graduation,Single,0.3808227599278088,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,0.7028898252664596,1.4462237439069143,0.45982759185976224,0
PhD,Widow,0.6134934825411692,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,0.1446032171018114,1.5317115676492619,-0.0016961662398176458,0
Graduation,Together,0.7321130450686566,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,-0.7348217054938291,1.788175038876304,0.7785778132810549,0
Graduation,Married,-1.0533378048301794,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,0.24835559561028586,-0.17804490719768606,-0.9513062008907519,1
Graduation,Together,-0.7850732684108481,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,-1.5055536601282107,0.16390638777170352,-0.9894898211651776,1
2n Cycle,Single,1.4284170276479602,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,-1.2437024191306323,-0.8619474971364652,1.1072889791217628,0
Graduation,Together,0.6697444204309623,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,-0.3889804437989143,0.9332968014528301,0.0763312317122696,0
Graduation,Together,0.8984823444206719,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,0.46080094208001926,-0.09255708345533865,1.5854143112537018,0
Master,Married,0.5861227931301045,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,1.4933841377119792,1.2752480964222197,1.072425673653809,0
Graduation,Married,0.5082613254295435,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,0.5694939100412781,0.8478089777104827,0.4249642863918084,0
PhD,Married,0.33347027548950836,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,0.47562271043837273,-0.5199962021670756,0.08961249093815679,0
Graduation,Married,-0.9496152067862176,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,-1.4512071761475813,1.4462237439069143,-0.899841321390439,1
Graduation,Divorced,-0.47632871383494974,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,1.0042657818863139,-0.6909718496517704,-0.9861695063587057,1
Master,Married,0.9142532641538977,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,1.5674929795037467,-0.26353273094003343,2.1299459395150766,0
Graduation,Single,0.9370555511233478,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,1.3402258646756597,-0.6054840259094231,2.6595361511473286,0
2n Cycle,Together,-1.0293040354634244,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,-0.27534688638487087,-0.6054840259094231,-0.9778687193425263,1
Graduation,Together,0.15133005640426722,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0.9350975295473309,0.3348820352563983,0.14107737043846966,0
Graduation,Single,-0.8928875660329516,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,1.5576118005981776,-1.3748744395905497,-0.7338255810668491,1
Graduation,Married,-1.0301779907131245,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,0.08531614366839745,-0.0070692597129912655,-0.981189034148998,1
2n Cycle,Married,-1.139223770732533,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,0.03591024914055247,-0.34902055468238086,-0.8765991177451364,1
Master,Together,-0.5409219518355173,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0.29776149013813086,0.5058576827410931,-0.4798214983717565,1
Graduation,Divorced,1.1569744721388102,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,-1.1350094511693734,-1.5458500870752443,0.283850907116757,0
Graduation,Married,-0.9055996423922269,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,-0.15677273951804294,0.7623211539681353,-0.9147827380195621,1
Master,Married,-0.6395199940971462,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,-0.028317413745645996,-0.09255708345533865,-0.7570677847121516,1
Graduation,Single,-0.07343534372316882,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,-1.5895436808255472,1.0187846251951775,-0.390172998597018,1
Graduation,Married,1.0867402502538142,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,-1.5104942495809952,-0.34902055468238086,1.2600234602194655,0
Graduation,Together,0.07712331065699779,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,-0.962088820321916,0.16390638777170352,-0.685681016373008,1
Master,Single,-0.39099890127331444,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,-1.2634647769417704,-0.26353273094003343,-0.9546265156972237,1
PhD,Married,-1.1365621797448096,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,-1.569781323014409,-0.09255708345533865,-0.9363647842616287,1
Graduation,Married,-0.8795398858557125,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,-1.5599001441088403,-1.2038987921058548,-0.933044469455157,1
Graduation,Widow,-0.17163613359857036,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,1.1376616971114955,0.7623211539681353,-0.0016961662398176458,1
Graduation,Divorced,-0.016826878685771086,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,0.44597917372166573,-0.26353273094003343,-0.9031616361969108,1
2n Cycle,Married,1.0432013887232965,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,-0.7101187582299067,1.5317115676492619,0.6158823877639368,0
PhD,Married,-0.08288995051537981,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0.10013791202675093,-1.2038987921058548,-0.32708701727405387,1
2n Cycle,Single,-0.17533058079048475,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,-0.06290153991513747,0.7623211539681353,-0.8882202195677877,1
PhD,Single,-0.7024447720755588,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,-1.2980489031112619,0.8478089777104827,-0.916442895422798,1
Graduation,Together,1.3290642058524993,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,0.40151386864660527,-0.8619474971364652,0.9329724517819935,0
PhD,Married,0.5406373949070727,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0.26811795342142386,2.044638510103346,0.8516247390234344,0
Graduation,Married,1.3887315142638477,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,-1.4907318917698573,0.8478089777104827,0.8134411187490087,0
Basic,Together,-1.098108148758002,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,-0.7545840633049671,-0.8619474971364652,-0.9596069879069313,1
Graduation,Married,-0.12476035202374276,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,-0.3741586754405608,0.4203698589987457,-0.6973021181956593,1
Graduation,Married,0.007008264487870064,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,0.7819392565110116,-0.0070692597129912655,0.5029916843438956,0
Graduation,Single,-0.5434246418687496,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,1.0042657818863139,-0.7764596733941178,-0.767028729131567,1
Master,Married,1.4627396338180034,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,1.063552855319728,0.7623211539681353,0.4033822401497417,0
Graduation,Together,0.9955708276146368,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,-0.5668416640991563,-0.8619474971364652,0.6009409711348137,0
PhD,Single,0.631210938966909,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1.1969487705449093,-1.887801382044634,2.0137349212885636,0
Master,Together,0.2006688027737044,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,-1.727880185503513,0.5058576827410931,0.0016241485666541522,1
Graduation,Single,1.3427296879387203,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,0.9350975295473309,-1.887801382044634,0.20416335176143383,0
PhD,Married,-0.3282330242493927,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,1.0388499080558053,-0.9474353208788125,-0.09300482341779209,1
Graduation,Single,-0.057664423989942926,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,-0.30499042310157787,0.5913455064834405,-0.8184936086318799,1
Graduation,Married,1.5305506161470124,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,-0.9769105886802695,-0.09255708345533865,1.8543598105779173,0
2n Cycle,Married,-0.6231531957845793,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,0.6979492358136751,-0.7764596733941178,-0.04984073093365871,1
2n Cycle,Together,-0.8534404040805755,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,-0.0036144664817235085,0.16390638777170352,-0.8732788029386646,1
Graduation,Together,-1.2044128873124413,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,-0.6261287375325701,-0.0070692597129912655,-0.9529663582939878,1
Master,Together,0.15462725120995427,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,0.10013791202675093,1.360735920164567,0.08795233353492089,0
Master,Single,-0.7817760736051611,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,-1.1300688617165888,0.16390638777170352,-0.8749389603419006,1
Master,Married,-1.300071261915988,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,-0.27534688638487087,-1.3748744395905497,-0.9579468305036954,1
Graduation,Divorced,-0.8439460720497418,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,0.39163268974103627,-0.6054840259094231,-0.9363647842616287,1
Graduation,Single,1.975671914914761,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,0.5941968573052007,-1.2038987921058548,0.8765271000719729,0
2n Cycle,Together,0.764767191216545,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,0.7028898252664596,0.3348820352563983,-0.07972356419190489,0
Graduation,Single,1.0872964035945325,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,0.3965732791938208,-1.2893866158482021,2.1847311338218613,0
Master,Married,0.08387660122286278,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,-1.6438901648061766,1.360735920164567,-0.8583373863095415,1
PhD,Together,0.9986693962272102,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,-1.5006130706754262,1.1042724489375249,0.08961249093815679,0
Graduation,Married,0.4274999153095227,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,-0.4038022121572678,1.4462237439069143,-0.2390986749025512,0
Master,Alone,0.36127794252542306,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,0.6040780362107697,0.9332968014528301,0.04146792624431573,0
Graduation,Married,0.8426286589171061,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,-1.0609006093776059,-0.0070692597129912655,0.19586256474525432,0
PhD,Married,-0.42448727743228026,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,-0.1715945078763964,0.4203698589987457,-0.5445676370979566,1
PhD,Together,0.42682458625293623,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,0.5694939100412781,0.16390638777170352,1.45260171899483,0
Basic,Divorced,-1.6958140890756765,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,1.661364179106652,-0.6054840259094231,-0.9596069879069313,1
PhD,Married,-0.7339071610647652,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,0.01614789132941448,0.8478089777104827,-0.8317748678577671,1
PhD,Alone,-0.6505636104342666,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,-1.5450783757504867,-0.34902055468238086,-0.9264038398422134,1
PhD,Divorced,-0.6084151322555444,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,-0.08760448717905997,0.3348820352563983,-0.9446655712778083,1
Master,Single,1.61373526582302,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,1.3056417385061683,-1.9732892057869813,2.4403953739201896,0
Master,Together,0.5111612678490032,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,-0.6261287375325701,-0.6054840259094231,0.7403941930066292,0
Graduation,Married,1.3456693555968027,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,0.4064544580993898,0.5913455064834405,1.2915664508809477,0
PhD,Single,0.6401888428956473,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,-0.24076276021537937,-0.4345083784247282,0.4382455456176956,0
Graduation,Together,-0.4112984982095321,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,0.5596127311357092,-1.6313379108175918,-0.48978244279117195,1
Graduation,Married,0.30081612934162,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,1.3105823279589528,-0.6054840259094231,0.448206490037111,0
Graduation,Married,-1.1234131257606843,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,1.2611764334311077,-0.5199962021670756,-0.8948608491807313,1
Graduation,Together,-0.543821894254977,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,-0.24076276021537937,-1.03292314462116,-0.9712280897295826,1
2n Cycle,Married,-0.6573963514773771,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,1.592195926767669,-0.34902055468238086,-0.6574583405179978,1
Master,Married,-0.10454020556477052,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,-1.7081178276923752,0.24939421151405092,-0.7969115623898132,1
Master,Married,0.28274114576827547,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,-1.4215636394308742,1.360735920164567,-0.2457393045154948,1
Graduation,Married,0.5367045962834219,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,-1.1844153456972184,-0.0070692597129912655,-0.2440791471122589,1
2n Cycle,Together,-0.23408420871351018,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,1.0289687291502365,-0.26353273094003343,-0.2955440266125718,1
Graduation,Alone,-0.7174609122749527,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,-1.5104942495809952,-1.6313379108175918,-0.8599975437127774,1
PhD,Together,0.34852614092752504,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1.3550476330340133,1.4462237439069143,0.6872691561030805,0
Graduation,Together,0.6807085862908372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,0.6979492358136751,1.7026872151339567,1.2849258212680041,0
Graduation,Single,-0.09015966918334037,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,0.011207301876629983,0.9332968014528301,-0.4997433872105873,1
Graduation,Single,0.31630897240448674,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,-0.31487160200714687,-0.7764596733941178,-0.9778687193425263,1
Graduation,Together,0.12467442128841189,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,-0.48779223285460427,-0.6909718496517704,-0.7388060532765568,1
Graduation,Single,1.1155013230166746,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,-0.2012380445931034,1.1897602726798722,1.0359022107826192,0
Master,Single,-0.8625772089638046,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,0.04579142804612146,0.9332968014528301,-0.9861695063587057,1
PhD,Married,0.7197982210956086,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,1.2216517178088317,2.044638510103346,1.8244769773196712,0
